census_block_group,1,2,3,4,5,6,7,total_pop
510594525022,77,153,82,158,140,14,36,2499
510594525023,63,97,196,139,171,44,22,2823
510594526001,330,340,210,53,154,188,34,4643
510594526002,231,405,48,139,55,0,0,2091
510594526003,175,140,27,48,28,0,58,1514
510594527001,157,182,154,82,90,51,0,2351
510594527002,225,154,253,129,69,27,7,2612
510594527003,149,82,40,23,12,0,0,621
510594528011,32,137,133,4,19,0,0,887
510594528012,437,289,46,109,65,75,57,3029
510594528013,209,105,102,50,0,0,0,991
510594528014,478,82,26,0,0,0,0,725
510594528021,343,214,70,0,77,0,0,1441
510594528022,482,255,66,43,18,0,0,1492
510594601001,41,134,74,122,14,13,7,1257
510594601002,40,220,115,185,20,14,10,1880
510594601003,26,109,102,108,33,17,11,1381
510594602001,10,226,206,173,41,0,5,2090
510594602002,33,242,108,150,80,37,3,2192
510594603001,34,68,39,54,17,6,0,664
510594603002,72,281,114,200,47,24,4,2268
510594604001,36,218,116,126,39,13,6,1729
510594604002,296,216,113,132,56,31,0,2141
510594604003,176,156,65,17,33,0,0,975
510594605011,113,237,182,213,69,28,20,2743
510594605021,397,463,286,175,126,13,0,3714
510594605022,71,162,114,178,81,0,14,2165
510594605023,101,155,109,95,60,19,0,1741
510594606001,41,166,192,108,23,11,31,1854
510594606002,87,264,154,218,32,0,0,2336
510594607011,38,169,103,81,30,0,0,1211
510594607012,150,148,180,210,25,20,0,2191
510594607021,31,106,82,81,64,0,10,1268
510594607022,85,243,139,97,58,19,4,1896
510594607023,111,96,131,90,54,4,0,1383
510594608001,48,99,31,107,21,16,6,1120
510594608002,110,326,217,81,63,6,0,2171
510594609001,138,269,143,204,73,20,8,2616
510594610001,157,260,167,208,63,6,10,2522
510594611001,63,198,150,149,82,0,0,2006
510594611002,294,207,140,136,40,59,0,2294
510594611003,189,369,132,244,148,29,0,3491
510594612011,57,272,122,120,45,32,25,2108
510594612012,42,272,74,146,38,9,0,1730
510594612013,40,101,50,45,9,0,9,698
510594612021,254,121,44,85,15,0,0,1088
510594612022,539,313,180,139,48,0,0,2541
510594612023,145,180,103,171,68,54,0,2272
510594615001,212,149,52,52,0,0,0,942
510594615002,12,126,66,75,0,0,0,776
510594615003,134,142,52,117,175,0,0,1986
510594615004,88,279,172,89,9,17,0,1762
510594615005,38,110,26,90,43,12,0,1047
510594616011,78,170,64,44,9,23,24,1252
510594616012,344,346,145,56,0,0,0,1743
510594616013,230,229,284,166,65,17,0,2848
510594616014,146,151,49,28,8,0,21,970
510594616021,606,512,61,16,0,0,0,1918
510594616022,120,176,66,0,49,0,0,957
510594616023,137,287,202,122,0,0,0,1961
510594617001,175,213,332,108,107,0,0,2721
510594617002,195,258,225,115,39,0,19,2340
510594617003,85,108,84,116,45,74,31,2024
510594618011,209,163,103,66,16,26,12,1510
