census_block_group,1,2,3,4,5,6,7
510594809021,16,29,16,15,5,3,3
510594809022,14,15,2,7,2,0,3
510594809031,17,9,7,2,0,0,0
510594809032,19,13,12,6,2,0,3
510594809033,3,13,2,6,1,5,7
510594810001,12,30,23,11,7,3,0
510594810002,5,10,19,30,14,4,2
510594811011,35,31,31,4,3,2,0
510594811021,44,38,27,14,4,0,1
510594811022,3,3,2,3,0,0,0
510594811031,12,9,16,18,6,2,0
510594811032,13,12,11,9,3,1,2
510594811041,12,10,8,11,5,1,0
510594811042,7,7,3,17,2,0,0
510594811043,6,5,2,3,0,0,0
510594811051,3,23,9,12,5,0,2
510594811052,4,13,13,15,11,2,0
510594811053,3,12,14,10,2,0,0
510594811061,3,12,2,14,2,0,0
510594811062,7,20,9,14,7,0,0
510594811063,6,21,12,18,13,3,0
510594812011,2,19,7,5,3,1,0
510594812021,14,37,11,15,4,5,0
510594812022,8,22,13,6,7,1,0
510594812023,4,12,11,5,4,7,6
510594814001,31,26,5,5,0,0,0
510594814002,11,22,6,14,12,3,0
510594814003,22,15,6,11,4,0,2
510594814004,13,31,4,8,5,0,0
510594815001,11,32,10,14,7,1,0
510594816001,4,11,10,14,7,2,0
510594816002,4,25,12,11,3,1,0
510594817011,6,20,9,12,2,4,0
510594817012,0,19,17,19,9,4,2
510594817013,4,29,13,9,4,1,0
510594817021,13,19,12,15,9,0,0
510594817022,22,27,9,10,3,1,1
510594817023,25,14,5,0,0,0,0
510594819001,40,28,15,15,6,2,2
510594819002,4,25,8,11,1,0,0
510594819003,5,26,7,22,2,0,0
510594820011,8,18,6,5,2,0,0
510594820012,7,32,18,22,11,0,0
510594820013,4,11,8,5,2,0,0
510594820021,23,32,7,8,3,0,0
510594820022,46,30,10,2,1,1,0
510594821001,22,14,10,4,8,0,1
510594821002,24,39,17,6,2,1,0
510594822011,21,32,15,10,3,4,1
510594822021,19,9,3,0,0,0,0
510594822022,11,11,8,2,0,0,0
510594822023,33,16,2,0,0,0,0
510594822024,20,24,9,2,2,2,0
510594822031,24,14,4,0,0,0,0
510594822032,16,13,5,0,0,0,0
510594822033,39,20,5,0,0,0,0
510594822034,35,33,7,4,0,2,0
510594823011,46,31,19,4,4,0,0
510594823012,30,38,17,14,0,0,0
510594823021,18,30,9,6,3,1,0
510594823022,22,23,16,19,6,2,0
510594823031,23,17,8,9,0,0,0
510594823032,7,20,7,2,0,0,0
510594823033,28,27,7,7,3,0,0
510594824001,8,26,15,15,6,2,1
510594825011,9,12,8,4,3,0,0
510594825012,31,24,7,4,4,2,0
510594825013,31,26,25,20,17,0,1
510594825014,5,7,3,21,12,0,0
510594825015,6,21,5,0,1,0,0
510594825021,3,7,4,9,1,1,0
510594825022,8,24,12,19,5,1,2
510594825031,6,13,11,13,5,2,0
510594825032,1,9,5,11,0,2,0
510594825033,13,14,17,17,9,0,0
510594825041,6,21,10,19,8,1,0
510594825042,2,16,18,10,5,0,1
510594825043,4,11,14,7,2,0,1
510594826011,9,20,11,7,7,1,0
510594826012,15,20,29,28,9,0,1
510594826013,9,12,17,17,3,0,1
510594826021,3,17,21,22,1,6,0
510594826022,2,8,16,18,3,3,0
510594826023,19,16,13,10,1,0,0
510594826024,10,21,9,6,3,1,0
510594901011,4,10,9,7,5,4,1
510594901012,31,18,13,11,3,0,0
510594901013,10,17,21,10,6,0,1
510594901031,7,11,15,9,2,3,1
510594901032,10,13,6,9,0,5,2
510594901033,5,13,6,8,4,3,0
510594901034,4,10,7,9,3,2,1
510594905011,27,17,8,5,0,0,0
510594905012,8,13,13,12,5,2,0
510594905021,4,20,24,8,5,5,0
510594905022,3,13,5,5,3,2,3
510594905023,17,25,15,14,11,0,0
510594910001,6,17,10,13,6,4,1
510594911011,6,23,11,13,3,2,1
510594911012,2,16,13,16,3,3,0
510594911021,6,18,8,10,4,1,1
510594911022,7,15,16,12,3,2,0
510594911031,11,7,18,13,5,1,0
510594911032,17,19,12,11,2,5,0
510594911033,6,6,16,12,1,1,1
510594911034,5,7,11,7,0,1,0
510594912011,10,7,6,6,0,0,2
510594912012,10,17,9,20,4,7,0
510594912013,28,29,18,4,9,0,0
510594912014,5,21,3,2,0,0,0
510594912021,27,30,6,7,1,0,0
510594913011,9,7,15,2,2,0,0
510594913012,3,6,19,16,7,2,0
510594913013,2,10,4,14,6,1,2
510594913014,10,21,11,20,7,4,3
510594913021,41,26,17,11,3,0,0
510594913022,1,9,5,12,3,2,1
510594913031,6,3,9,8,5,4,0
510594913032,43,28,18,15,10,1,1
510594914011,11,14,16,15,5,3,0
510594914012,11,14,10,6,3,1,1
510594914013,11,16,8,6,0,0,0
510594914014,11,11,4,0,0,0,0
510594914021,12,17,16,14,9,7,4
510594914022,6,13,16,10,7,0,2
510594914031,3,27,13,19,6,1,0
510594914032,3,14,11,8,3,3,1
510594914041,11,16,8,9,1,0,0
510594914042,11,16,14,25,7,1,3
510594914051,3,23,18,23,7,4,0
510594915011,25,22,11,21,3,10,0
510594915012,18,32,23,21,3,7,0
510594915013,1,4,5,13,9,0,0
510594915021,5,30,38,18,9,0,0
510594915022,0,18,13,17,4,0,0
510594915023,2,9,18,12,4,3,0
510594916011,1,3,11,2,3,0,0
510594916012,20,26,12,18,7,3,3
510594916013,6,11,10,12,4,1,0
510594916021,11,22,10,22,8,4,3
510594916022,6,14,14,15,15,0,3
510594917011,14,12,4,3,0,1,0
510594917012,20,28,8,8,1,3,0
510594917013,18,17,5,14,4,0,0
510594917021,28,25,12,3,1,0,0
510594917022,25,27,16,8,0,0,0
510594917023,21,26,19,9,0,0,2
510594917024,2,8,5,3,1,0,0
510594917025,22,15,11,9,6,0,0
510594917031,52,26,17,11,0,0,0
510594917032,17,17,8,4,0,0,0
510594917033,27,17,18,4,0,0,1
510594917041,40,15,11,6,0,0,0
510594917042,13,21,12,12,4,1,0
510594917043,16,19,22,12,2,0,2
510594917051,2,26,16,30,7,2,4
510594918011,26,26,9,1,3,0,0
510594918012,9,9,9,9,1,1,0
510594918021,20,20,7,5,1,0,0
510594918022,7,18,4,15,4,4,0
510594918031,30,15,9,18,4,0,0
510594918032,4,17,14,11,7,2,0
510594918033,32,41,21,12,2,0,3
510594920001,3,25,11,12,11,1,0
510594920002,12,25,21,12,1,2,0
510594920003,10,38,5,9,4,2,0
510594921001,3,25,5,5,10,3,1
510594921002,6,22,11,10,3,0,1
510594921003,2,33,14,7,5,0,2
510594921004,3,15,4,3,6,0,0
510594922011,5,34,8,5,5,3,1
510594922012,1,12,5,8,2,1,0
510594922021,10,22,13,11,3,0,0
510594922022,7,25,26,12,13,2,0
510594922023,2,17,12,12,8,2,2
510594922031,0,9,3,8,4,0,0
510594922032,4,16,11,5,3,0,0
510594922033,4,18,6,19,4,3,1
510594923001,10,16,12,11,5,3,0
510594923002,3,15,10,10,3,1,1
510594924001,21,27,13,8,1,4,0
510594924002,27,25,14,15,5,1,1
510594925001,7,27,14,5,6,6,0
510594925002,3,32,14,10,5,1,0
510599801001,0,0,0,0,0,0,0
510599802001,0,0,0,0,0,0,0
510599803001,0,0,0,0,0,0,0
